"variable","No Change (Baseline)","Non-meat marketing campaign (Scenario 1)","Increase in meat pricing (Scenario 2)","Increase in non-meat options (Scenario 3)","Combined non-meat push (Scenario 4)"
"Red Meat",0.0800680759348225,0.076730072882444,0.0775319382329276,0.0723141295729932,0.0695990656052353
"Red Meat_Low",0.0711480947833453,0.0765704757305584,0.0773662316125791,0.0722242442275084,0.0694431925649427
"Red Meat_High",0.0888180479830506,0.0768896145327043,0.077697585341432,0.0724039974674568,0.0697548861613343
"Poultry",0.0898297578739815,0.0862321287833695,0.087127831020872,0.082065710177574,0.0789658657856021
"Poultry_Low",0.0796344799365275,0.0861440047293281,0.087064271516508,0.0819892549239847,0.0788919056891577
"Poultry_High",0.0998011536836344,0.0863202357976822,0.0871913816700155,0.0821421526831821,0.0790398140023818
"Fish",0.0311109594149357,0.0345843669753962,0.0313897994722926,0.0283476907624736,0.0315439332475198
"Fish_Low",0.0273688131484451,0.0345355183768252,0.0313411252899613,0.0282970967489771,0.0314948969952253
"Fish_High",0.0348243585866456,0.0346332105673509,0.0314384687516926,0.0283982794944152,0.031592964526257
"Vegetables",0.304285264078035,0.301244228166504,0.306410367749436,0.323481193425661,0.319755607578771
"Vegetables_Low",0.278085981542496,0.301074623049841,0.306267602469819,0.323420551591957,0.319673800384416
"Vegetables_High",0.328646199651805,0.301413750912107,0.306553073769659,0.323541824388568,0.319837395081888
"Legumes, Beans, & Nuts",0.0424524352689154,0.0500945638891285,0.0426666599191484,0.0431892737418215,0.0500294241177487
"Legumes, Beans, & Nuts_Low",0.0376910441463927,0.0500124920551466,0.0426124225107663,0.0431151374007159,0.0499550057661565
"Legumes, Beans, & Nuts_High",0.0471668625491977,0.0501766215324636,0.0427208910181071,0.0432633985426857,0.0501038308071256
"Eggs & Cheese",0.055892635968264,0.0629607187219132,0.0563186430483095,0.0714814919576247,0.077259193159139
"Eggs & Cheese_Low",0.049785463203246,0.0628210753903645,0.056096652090054,0.0713616111544647,0.0771691389952568
"Eggs & Cheese_High",0.0619216736658795,0.0631003201106267,0.0565405295579323,0.0716013401987808,0.0773492297425817
"Grains",0.396360871461045,0.388153920581245,0.398554760557014,0.379120510361852,0.372846910505984
"Grains_Low",0.367366747592851,0.388077618470732,0.398457570581667,0.379048419373824,0.372805053455233
"Grains_High",0.42280991651123,0.388230203204927,0.3986519190575,0.379192584146714,0.372888761855871
