"poverty","variable","No Change (Baseline)","Non-meat marketing campaign (Scenario 1)","Increase in meat pricing (Scenario 2)","Increase in non-meat options (Scenario 3)","Combined non-meat push (Scenario 4)"
"In Poverty","Red Meat",0.0800316778862567,0.0766644900993564,0.0775373600149757,0.0723072458808223,0.0696029540455887
"In Poverty","Red Meat_Low",0.0718780515560985,0.0765294951008748,0.0773721527244777,0.0722093803842922,0.0694250520719289
"In Poverty","Red Meat_High",0.0880432912789357,0.0767994456358607,0.0777025081514766,0.072405090733373,0.0697807880116948
"In Poverty","Poultry",0.0908764285397355,0.0871062518362684,0.0880767912961259,0.0829834640991639,0.0798875634863614
"In Poverty","Poultry_Low",0.0816363316047687,0.0870271137486057,0.08801643907508,0.0829021231500086,0.0798112328515522
"In Poverty","Poultry_High",0.0999324395652684,0.0871853762054643,0.0881371355298578,0.0830647906207137,0.0799638814588067
"In Poverty","Fish",0.0314242224497156,0.0348587998933486,0.0316887081481461,0.0286297520227218,0.0318308742434023
"In Poverty","Fish_Low",0.0280253017769509,0.0347991406947394,0.0316354422252232,0.0285742260392839,0.0317779386422508
"In Poverty","Fish_High",0.0347994544322883,0.034918451717327,0.0317419682114939,0.0286852716588737,0.0318838040565745
"In Poverty","Vegetables",0.305564053654694,0.302438046900246,0.307601604332265,0.324167710514602,0.320372986561054
"In Poverty","Vegetables_Low",0.281745204451239,0.30225865300904,0.307485058247068,0.324108326750984,0.320286234715844
"In Poverty","Vegetables_High",0.327853842821079,0.302617348568465,0.307718111196056,0.324227083844236,0.320459716264818
"In Poverty","Legumes, Beans, & Nuts",0.0423971969745967,0.0500114883928814,0.0426229153925989,0.0430507376147853,0.049845903437468
"In Poverty","Legumes, Beans, & Nuts_Low",0.0380186077364872,0.0499249324854925,0.0425513616601793,0.0429667240345764,0.0497686047641549
"In Poverty","Legumes, Beans, & Nuts_High",0.0467361073268188,0.0500980285304794,0.0426944584308594,0.043134736445952,0.0499231895357411
"In Poverty","Eggs & Cheese",0.0552238282568564,0.0623312573884505,0.0556622274322801,0.0711625713885561,0.0769493320581421
"In Poverty","Eggs & Cheese_Low",0.0496105030719791,0.0622159470660693,0.0554500958893425,0.0710960791444022,0.0768625850402338
"In Poverty","Eggs & Cheese_High",0.0607712343483955,0.0624465393571063,0.0558742637135755,0.0712290541141754,0.0770360627743863
"In Poverty","Grains",0.394482592238145,0.386589665489448,0.396810393383609,0.377698518479348,0.371510386167984
"In Poverty","Grains_Low",0.367820876785576,0.386489981409766,0.396703682284429,0.37764975015788,0.371456743873508
"In Poverty","Grains_High",0.418986435776423,0.386689317180739,0.396917066739329,0.377747279158295,0.371564019307162
"Not in Poverty","Red Meat",0.0800776398699767,0.0767473079677386,0.0775305133944006,0.0723159385999378,0.0695980437272667
"Not in Poverty","Red Meat_Low",0.0709562916643578,0.0765812453962355,0.0773646755507011,0.0722281504296177,0.0694479598671165
"Not in Poverty","Red Meat_High",0.0890216227122024,0.0769133108224142,0.0776962916322142,0.0724037101583426,0.0697480791827458
"Not in Poverty","Poultry",0.0895547351524479,0.0860024101794083,0.0868784452748686,0.0818245254279573,0.0787236446150352
"Not in Poverty","Poultry_Low",0.0791084742769444,0.0859119246230076,0.0868140428998768,0.0817493541299405,0.0786503074935393
"Not in Poverty","Poultry_High",0.0997666570634011,0.0860928778232562,0.086942838566555,0.0818996844193964,0.078796970062559
"Not in Poverty","Fish",0.0310286465583707,0.0345122462978966,0.0313112465917786,0.0282735653647726,0.03146852546051
"Not in Poverty","Fish_Low",0.0271963144865691,0.0344662387134604,0.0312637791139666,0.0282242674677049,0.0314205139529272
"Not in Poverty","Fish_High",0.0348309023912375,0.0345582494980284,0.0313587094180641,0.0283228582603583,0.0315165322085648
"Not in Poverty","Vegetables",0.303949249894063,0.300930493879336,0.306097312048768,0.323300777468497,0.319593361042136
"Not in Poverty","Vegetables_Low",0.277124485748271,0.300763461242161,0.305947656392883,0.32323980501532,0.319512853296741
"Not in Poverty","Vegetables_High",0.328854398982446,0.301097446734529,0.306246903179297,0.323361738936085,0.319673849740206
"Not in Poverty","Legumes, Beans, & Nuts",0.0424669496587167,0.0501163960407438,0.0426781559339675,0.0432256808879269,0.0500776531563632
"Not in Poverty","Legumes, Beans, & Nuts_Low",0.0376049736822337,0.0500355026164603,0.0426284692370332,0.0431541402746999,0.0500039917502405
"Not in Poverty","Legumes, Beans, & Nuts_High",0.0472800476010479,0.0501972756893779,0.0427278374737823,0.0432972108041818,0.0501513031401599
"Not in Poverty","Eggs & Cheese",0.0560683715869187,0.0631261404875228,0.0564911483705665,0.0715653039422851,0.0773406243252738
"Not in Poverty","Eggs & Cheese_Low",0.0498314356500101,0.0629801024671742,0.0562665663685041,0.0714313926828848,0.0772497010469647
"Not in Poverty","Eggs & Cheese_High",0.0622239625924788,0.0632721329938327,0.056715623509665,0.0716991765838826,0.0774315296870826
"Not in Poverty","Grains",0.396854407279507,0.388565005147354,0.39901317838565,0.379494208308623,0.373198147673415
"Not in Poverty","Grains_Low",0.367247420806883,0.388494847793346,0.398918490551469,0.379415988148752,0.373159387772117
"Not in Poverty","Grains_High",0.423814572619234,0.388635146405047,0.39910783639235,0.3795724087528,0.373236902781669
