"poverty","variable","No Change (Baseline)","Non-meat marketing campaign (Scenario 1)","Increase in meat pricing (Scenario 2)","Increase in non-meat options (Scenario 3)","Combined non-meat push (Scenario 4)"
"In Poverty","Red Meat",0.080124048297179,0.076784286653862,0.0776267433431436,0.0724483866823778,0.0697200211320113
"In Poverty","Red Meat_Low",0.0798783784180032,0.0765241708683415,0.0774330557666624,0.0722620962570195,0.0694501956172794
"In Poverty","Red Meat_High",0.0803695870250413,0.0770442559468221,0.0778203496095298,0.0726346023082583,0.0699896902129808
"In Poverty","Poultry",0.0910464684309614,0.08736949535809,0.0880964341614339,0.0830355445439182,0.0801683384640568
"In Poverty","Poultry_Low",0.0909097178236363,0.0872204398530258,0.0879802718935433,0.0828791881845834,0.0800072338609433
"In Poverty","Poultry_High",0.091183177902843,0.0875185021900309,0.088212566842346,0.0831918475991658,0.0803293866533596
"In Poverty","Fish",0.0315603147004713,0.0348877673814435,0.0318072788860881,0.0288138474731803,0.0318592034247786
"In Poverty","Fish_Low",0.0314898070325109,0.0347862529579997,0.0317126783323137,0.0287202838670025,0.0317754679148286
"In Poverty","Fish_High",0.0316308121032442,0.0349892604539804,0.0319018609569385,0.0289073930550854,0.0319429244524902
"In Poverty","Vegetables",0.305353283745894,0.302132638267849,0.307479552156378,0.323883454866398,0.320172589092506
"In Poverty","Vegetables_Low",0.305116082120548,0.301855305995352,0.307286652397918,0.323780191522632,0.320071176622664
"In Poverty","Vegetables_High",0.305590323486902,0.302409750291882,0.307672344511226,0.323986686676955,0.320273971315196
"In Poverty","Legumes, Beans, & Nuts",0.0422378024960132,0.0497952786221577,0.0424872642539974,0.0430232637066588,0.0497306713359193
"In Poverty","Legumes, Beans, & Nuts_Low",0.0421232170263223,0.0496953336122176,0.0423653203860662,0.0429176731869723,0.0496492344730135
"In Poverty","Legumes, Beans, & Nuts_High",0.0423523605545389,0.0498952026115664,0.0426091770695577,0.0431288309302763,0.0498120942431476
"In Poverty","Eggs & Cheese",0.0557367474198235,0.0625598904471254,0.0558960899947311,0.0713820119621539,0.0769110308431669
"In Poverty","Eggs & Cheese_Low",0.0554855527922182,0.0623392868745497,0.0556506503296028,0.071201483793756,0.0766788565271429
"In Poverty","Eggs & Cheese_High",0.0559878084719935,0.0627803902412477,0.0561414021117723,0.0715624699666019,0.0771430884254583
"In Poverty","Grains",0.393941334909658,0.386470643269472,0.396606637204228,0.377413490765313,0.371438145707561
"In Poverty","Grains_Low",0.393783803175054,0.386346708960837,0.396465239090773,0.377331279502928,0.371335486472891
"In Poverty","Grains_High",0.394098784792935,0.38659452752831,0.39674796907877,0.377495680321776,0.371540771419748
"Not in Poverty","Red Meat",0.08012266135939,0.0766330320879586,0.0775016713152061,0.0724479333500866,0.0697892437740506
"Not in Poverty","Red Meat_Low",0.0798038657211406,0.0763861870209971,0.0773078615501743,0.0722179035375684,0.0695136232618886
"Not in Poverty","Red Meat_High",0.0804412361850146,0.0768797452465277,0.077695399678576,0.0726778491259169,0.070064701050784
"Not in Poverty","Poultry",0.0898976288039282,0.0862233070599692,0.0868674965354442,0.0819250020085487,0.0790832931581251
"Not in Poverty","Poultry_Low",0.0897248851634091,0.0860602050810838,0.0867573823675301,0.0818056509773208,0.0789375753476099
"Not in Poverty","Poultry_High",0.0900703068934878,0.0863863508347823,0.0869775841525427,0.0820443220162414,0.0792289648690036
"Not in Poverty","Fish",0.0311609441728797,0.034522119262877,0.0314129864926394,0.0284070511906062,0.0315339484271631
"Not in Poverty","Fish_Low",0.0310832294108339,0.0344355741014614,0.0313098022748878,0.0283231764778021,0.0314531331122007
"Not in Poverty","Fish_High",0.0312386464692523,0.0346086489113067,0.0315161487305077,0.0284909114246041,0.0316147502568303
"Not in Poverty","Vegetables",0.303779776544552,0.30071377727759,0.306037869847187,0.323039347900328,0.319336897954957
"Not in Poverty","Vegetables_Low",0.303547932520288,0.300516104640891,0.305804012988426,0.322905884645033,0.319224489741188
"Not in Poverty","Vegetables_High",0.304011466261675,0.300911338222133,0.306271569198229,0.323172758551621,0.319449269053641
"Not in Poverty","Legumes, Beans, & Nuts",0.0423006101840554,0.0498566206950124,0.0425758266328512,0.0431961703644388,0.0498749945335521
"Not in Poverty","Legumes, Beans, & Nuts_Low",0.0422015342477714,0.0497533380401758,0.042452780440645,0.043107893244883,0.0497788152655376
"Not in Poverty","Legumes, Beans, & Nuts_High",0.0423996656253685,0.0499598809006305,0.0426988412058958,0.0432844311976632,0.0499711543334354
"Not in Poverty","Eggs & Cheese",0.0565214005836932,0.0634045173845377,0.0568612544303651,0.0717639953877312,0.0773676167173687
"Not in Poverty","Eggs & Cheese_Low",0.056291486926602,0.063194063271582,0.0566156552329914,0.0715730756865715,0.077145518123751
"Not in Poverty","Eggs & Cheese_High",0.0567512022413398,0.0636148769614019,0.0571067257832036,0.071954836584407,0.0775896084340787
"Not in Poverty","Grains",0.396216978351501,0.388646626232055,0.398742894746307,0.37922049979826,0.373014005434783
"Not in Poverty","Grains_Low",0.396059543463379,0.388541483019519,0.398546211943828,0.379140809337322,0.372918017089303
"Not in Poverty","Grains_High",0.396374331180923,0.388751733291053,0.398939448955435,0.379300169804465,0.373109964398612
