"race","variable","No Change (Baseline)","Non-meat marketing campaign (Scenario 1)","Increase in meat pricing (Scenario 2)","Increase in non-meat options (Scenario 3)","Combined non-meat push (Scenario 4)"
"Mexican American","Red Meat",0.0790936276550347,0.0761553920327752,0.0768583457203232,0.0709879691740133,0.068446513527289
"Mexican American","Red Meat_Low",0.0785969591913114,0.0754701595138145,0.0762943461245656,0.0703365454514283,0.0678802703150205
"Mexican American","Red Meat_High",0.0795897609638807,0.0768396095583171,0.077421656998461,0.0716384806186669,0.0690120691954436
"Mexican American","Poultry",0.0884929252921965,0.084824376927395,0.0855972227471517,0.0799714053112629,0.0772096112726177
"Mexican American","Poultry_Low",0.0878941010272646,0.0841260926864637,0.0851187492325723,0.0795325954273234,0.0766530496737772
"Mexican American","Poultry_High",0.089090963781639,0.085521597202202,0.0860751960498514,0.0804097970112197,0.0777655023234858
"Mexican American","Fish",0.0307385434232065,0.0339838393812728,0.0308882779688105,0.027596093991891,0.0308629800458834
"Mexican American","Fish_Low",0.0304615411518177,0.0337741120043792,0.0305694392211444,0.0272862794074608,0.0306194783667902
"Mexican American","Fish_High",0.0310153874577731,0.0341934757317764,0.0312069070578843,0.027905711283916,0.0311063594238241
"Mexican American","Vegetables",0.30452612294401,0.301423337924635,0.307075374119187,0.325812432543776,0.321895954282802
"Mexican American","Vegetables_Low",0.303646091305777,0.30082544378507,0.306244665625269,0.325385875629168,0.321608184381336
"Mexican American","Vegetables_High",0.305403933073394,0.302020210368071,0.307904095597647,0.326238450377388,0.322183480147117
"Mexican American","Legumes, Beans, & Nuts",0.0425766792656569,0.0505059936169249,0.0427676421305059,0.0434210975263305,0.0499888833579497
"Mexican American","Legumes, Beans, & Nuts_Low",0.0422322636304506,0.0501358236093929,0.0423421418108549,0.0431198695911877,0.0497618152301079
"Mexican American","Legumes, Beans, & Nuts_High",0.0429208472844866,0.0508758752201595,0.0431927645070053,0.0437221358667469,0.0502158429916944
"Mexican American","Eggs & Cheese",0.0561733033316827,0.0626403188075135,0.0563270764200963,0.0714164713304869,0.0772325508300291
"Mexican American","Eggs & Cheese_Low",0.0555828153364042,0.0621287380652869,0.0558710051652871,0.0709880363134955,0.0768657190396048
"Mexican American","Eggs & Cheese_High",0.0567630533941747,0.0631513417499937,0.0567827072677956,0.0718445113645099,0.0775990911956558
"Mexican American","Grains",0.398398798088213,0.390466741309483,0.400486060893926,0.38079453012224,0.374363506683429
"Mexican American","Grains_Low",0.397796997885098,0.389930088564653,0.400080000614191,0.38056769462492,0.37414604840479
"Mexican American","Grains_High",0.398999396696771,0.391002450742579,0.400891571855676,0.381021199546506,0.374580813899099
"Non-Hispanic Asian","Red Meat",0.0797042906557866,0.0761824144830561,0.076874860496888,0.0713612017112272,0.0687671098501067
"Non-Hispanic Asian","Red Meat_Low",0.0794466293189984,0.0759047358840582,0.0766686649217745,0.0711202920916679,0.068477586807147
"Non-Hispanic Asian","Red Meat_High",0.0799618077949878,0.0764599262545739,0.0770809639986124,0.071601986400947,0.0690564529778085
"Non-Hispanic Asian","Poultry",0.0868233253071752,0.0831461006371551,0.0836057608618006,0.0784895756783938,0.0757230946131937
"Non-Hispanic Asian","Poultry_Low",0.0866176656395358,0.0829816136200079,0.0834535127254491,0.0783577779978876,0.0755270550514131
"Non-Hispanic Asian","Poultry_High",0.0870288923818751,0.0833105286562997,0.0837579584264777,0.07862133566934,0.0759190510500713
