Income,Race,Poverty,HealthBurden,HealthConcernThreshold,HealthConcernImpactOnBehavior,SusceptibleToMarketingToVeg,SusceptibleToMarketingToMeat,SusceptibleToMarketingToPoultry,SusceptibleToMarketingToFish,SusceptibleToMarketingToGrains,SusceptibleToMarketingToLegumesBeansNuts,SusceptibleToMarketingToEggCheese,SusceptibleToMarketingToOther,SusceptibleToPeerPressureForVeg,SusceptibleToPeerPressureForMeat,SusceptibleToPeerPressureForPoultry,SusceptibleToPeerPressureForFish,SusceptibleToPeerPressureForGrains,SusceptibleToPeerPressureForLegumesBeansNuts,SusceptibleToPeerPressureForEggCheese,SusceptibleToPeerPressureForOther,VegPriceSensitivity,MeatPriceSensitivity,PoultryPriceSensitivity,FishPriceSensitivity,GrainsPriceSensitivity,LegumesBeansNutsPriceSensitivity,EggCheesePriceSensitivity,OtherPriceSensitivity,EatingOutPriceSensitivity,HealthConsciousToConsumeVeg,HealthConsciousToConsumeMeat,HealthConsciousToConsumePoultry,HealthConsciousToConsumeFish,HealthConsciousToConsumeGrains,HealthConsciousToConsumeLegumesBeansNuts,HealthConsciousToConsumeEggCheese,HealthConsciousToConsumeOther,CookedDinner_Perc,LeftOverDinner_Perc,FrozenDinner_Perc,NoDinner_Perc,RestuarantDinner_Perc,FastfoodDinner_Perc,CarryoutDinner_Perc,changeinmeatdueto_health,changeinmeatdueto_animalwel,changeinmeatdueto_environment,changeinmeatdueto_costofmeat,changeinmeatdueto_other,clfdata
Less than $25k,Mexican American,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
Less than $25k,Non-Hispanic Asian,1,24.56395328,24.4,0.36,1,1,1,1,1,1,1,1,1.35265,1.35265,1.35265,1.35265,2.7053,2.7053,2.7053,2.7053,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
Less than $25k,Non-Hispanic Black,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.318181818,0.190909091,0.018181818,0.154545455,0.027272727,0.154545455,0.136363636,0.166666667,0,0,0.5,0.5,yes
Less than $25k,Non-Hispanic White,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.365910653,0.157250859,0.148178694,0.04742268,0.096769759,0.123986254,0.0604811,0.235294118,0.117647059,0.058823529,0.588235294,0.411764706,yes
Less than $25k,Other Hispanic,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.421052632,0.22556391,0.052631579,0.15037594,0.045112782,0.090225564,0.015037594,0.571428571,0,0,0.714285714,0.428571429,yes
Less than $25k,Other Race - Including Multi-Racial,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0,0.866666667,0,0,0,0.5,0,0,0.5,0,yes
$25k - $55k,Mexican American,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$25k - $55k,Non-Hispanic Asian,1,24.56395328,24.4,0.36,1,1,1,1,1,1,1,1,1.35265,1.35265,1.35265,1.35265,2.7053,2.7053,2.7053,2.7053,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$25k - $55k,Non-Hispanic Black,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.4140625,0.1875,0.0859375,0.0625,0.046875,0.125,0.078125,0.875,0.25,0.25,0.5,0.125,yes
$25k - $55k,Non-Hispanic White,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.384745763,0.220338983,0.069491525,0.03559322,0.079661017,0.13559322,0.074576271,0.558823529,0.235294118,0.235294118,0.5,0.264705882,yes
