Variables,Value
VegPriceVolatility,1
MeatPriceVolatility,1
PoultryPriceVolatility,1
FishPriceVolatility,1
GrainsPriceVolatility,1
LegumesBeansNutsPriceVolatility,1
EggCheesePriceVolatility,1
OtherPriceVolatility,1
EatingOutPriceVolatility,1
VegUtilityMultiplier,1
MeatUtilityMultiplier,1
PoultryUtilityMultiplier,1
FishUtilityMultiplier,1
GrainsUtilityMultiplier,1
LegumesBeansNutsUtilityMultiplier,1
EggCheeseUtilityMultiplier,1
OtherUtilityMultiplier,1
AffordabilityMultiplier,2
MarketingMultiplier,4
HealthMultiplier,1
PriceMultiplier,4
AvailabilityMultiplier,6
MarketingIntensity,0
MealMass,100
ProteinProportion,0.2
