zip,store_zip,Convenience,Fastfood,Restaurants,SupermarketsStores
21201,21201,98,1393,1607,174
21201,21202,112,616,940,131
21201,21205,12,74,104,25
21201,21206,0,8,34,34
21201,21209,0,4,20,0
21201,21210,0,8,12,0
21201,21211,16,88,114,28
21201,21212,4,53,36,20
21201,21213,12,34,49,42
21201,21214,8,13,16,16
21201,21215,56,190,141,64
21201,21216,0,20,16,42
21201,21217,4,84,156,198
21201,21218,9,177,350,171
21201,21223,38,191,186,139
21201,21224,65,159,197,58
21201,21229,17,50,46,54
21201,21230,171,236,496,191
21201,21231,16,69,126,4
21201,21239,12,4,12,4
21202,21201,55,976,1154,44
21202,21202,162,731,1365,317
21202,21205,37,171,345,121
21202,21206,8,12,43,54
21202,21209,0,4,28,0
21202,21210,0,8,8,0
21202,21211,8,79,114,24
21202,21212,12,61,28,29
21202,21213,8,93,123,93
21202,21214,4,32,24,25
21202,21215,12,160,137,76
21202,21216,8,20,24,36
21202,21217,16,32,79,73
21202,21218,60,251,505,346
21202,21223,4,83,88,20
21202,21224,66,238,312,159
21202,21229,5,24,34,25
21202,21230,60,126,262,73
21202,21231,62,362,608,75
21202,21239,12,12,24,4
21205,21201,20,356,345,40
21205,21202,41,258,400,207
21205,21205,162,575,840,483
21205,21206,16,93,117,135
21205,21209,8,12,16,4
21205,21210,0,0,4,0
21205,21211,4,20,31,20
21205,21212,8,44,49,21
21205,21213,32,215,236,238
21205,21214,12,36,36,36
21205,21215,4,122,56,28
21205,21216,8,8,32,32
21205,21217,4,36,94,60
21205,21218,36,104,123,125
21205,21223,4,52,32,24
21205,21224,215,687,898,587
21205,21229,4,24,12,49
21205,21230,64,85,100,28
21205,21231,32,353,467,52
21205,21239,0,8,12,4
21206,21201,40,414,358,28
21206,21202,4,232,343,36
21206,21205,37,157,277,41
21206,21206,256,852,822,923
21206,21209,0,20,20,0
21206,21210,12,11,19,0
21206,21211,20,52,56,12
21206,21212,19,174,104,32
21206,21213,17,162,178,187
21206,21214,32,170,203,258
21206,21215,16,116,113,29
21206,21216,0,12,12,40
21206,21217,4,44,56,68
21206,21218,20,160,179,68
